name,project_link,owner,address,area,sell_date,progress,price,scale,latlong,page_number
"
First Home An Giang
",https://batdongsan.com.vn/can-ho-chung-cu-long-xuyen-ag/first-home-an-giang-pj1727,Công ty CP Tổ chức Nhà Quốc Gia,"16B Phố Tôn Đức Thắng, Phường Mỹ Bình, Long Xuyên, An Giang",,,"
Đang cập nhật
",,,"10.3884773254395,105.435012817383",p75
"
Chung cư An Lạc
",https://batdongsan.com.vn/can-ho-chung-cu-cau-giay/chung-cu-an-lac-pj1700,Công ty CP Đầu tư An Lạc,"38 Hoàng Ngân, Phường Trung Hòa, Cầu Giấy, Hà Nội",,,"
Đã hoàn thành
",,,"21.0075798034668,105.810539245605",p75
"
Mỹ Khánh 2
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/my-khanh-2-pj1714,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",4.300 m²,Tháng 06/2008,"
Đã hoàn thành
",31 triệu/m²,2 block 12 tầng với 102 căn hộ,"10.7278928756714,106.708374023438",p75
"
Mỹ Khánh 1
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/my-khanh-1-pj1715,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",,,"
Đã hoàn thành
",,Gồm 2 Block cao 12 tầng,"10.7214479446411,106.712219238281",p75
"
Chung cư Cầu Tiên
",https://batdongsan.com.vn/can-ho-chung-cu-hoang-mai/chung-cu-cau-tien-pj1736,Công ty CP Xây dựng Công nghiệp ICC,"1277 Đường Giải Phóng, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",1.929 m²,,"
Đã hoàn thành
",,Gồm 14 tầng,"20.9711780548096,105.841667175293",p74
"
Mỹ Khánh 3
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/my-khanh-3-pj1717,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Đường Nguyễn Đức Cảnh, Phường Tân Phong, Quận 7, Hồ Chí Minh",,,"
Đang cập nhật
",,Gồm: 2 block A và B,"10.7268867492676,106.708274841309",p75
"
Mỹ Viên
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/my-vien-pj1668,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Phú Mỹ Hưng, P. Tân Phú, Quận 7, TP. HCM",9.418 m²,Tháng 12/2005,"
Đã hoàn thành
",,5 block căn hộ cao 9 tầng,"10.7178020477295,106.729415893555",p75
"
Chung cư Biển Bắc
",https://batdongsan.com.vn/can-ho-chung-cu-ba-dinh/chung-cu-bien-bac-pj1671,Công ty CP Xây dựng Sông Hồng - Incomex,"1070 La Thành, Ba Đình, Hà Nội",,,"
Đang cập nhật
",,"Gồm 12 tầng nổi, 1 tầng hầm","21.0275135040283,105.809417724609",p75
"
Căn hộ 8X Rainbow
",https://batdongsan.com.vn/can-ho-chung-cu-binh-tan/can-ho-8x-rainbow-pj1685,Công ty CP Đầu tư Kinh doanh Địa ốc Hưng Thịnh,"119 Bình Long, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",,,"
Đang cập nhật
",,"Gồm 18 tầng, 408 căn hộ","10.7789697647095,106.619834899902",p75
"
Căn hộ 8X Thái An
",https://batdongsan.com.vn/can-ho-chung-cu-go-vap/can-ho-8x-thai-an-pj1675,Công ty CP Đầu tư Kinh doanh Địa ốc Hưng Thịnh,"Số 21/5D Phan Huy Ích, Phường 14, Gò Vấp , Tp.HCM , Việt Nam",3.606 m²,Quý IV/2015,"
Đã hoàn thành
",13.8 triệu/m²,1 Block cao 11 tầng,"10.8344345092773,106.634574890137",p75
"
Căn hộ An Viên
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/can-ho-an-vien-pj1676,Công ty CP Đầu tư Nam Long,"Phường Tân Thuận Đông, Quận 7, TPHCM",280.000 m²,Quý IV/2009,"
Đang cập nhật
",21 triệu/m²,3 block 9 tầng,"10.7415142059326,106.733253479004",p75
"
Green View
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/green-view-pj1655,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Lô đất S1-3, Khu Nam Viên, Đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Hồ Chí Minh",,Quý II/2008,"
Đang cập nhật
",33 triệu/m²,167 căn hộ và 17 shophouse,"10.7220287322998,106.726631164551",p76
"
Saigonland Apartment
",https://batdongsan.com.vn/can-ho-chung-cu-binh-thanh/saigonland-apartment-pj1654,Công ty TNHH Hoàn Cầu,"Đường D2, Phường 25, Bình Thạnh, Hồ Chí Minh",17.828 m²,,"
Đã hoàn thành
",25 triệu/m²,"2 tầng hầm, 1 trệt, 19 lầu, 1 sân thượng và mái","10.8030300140381,106.71403503418",p76
"
Chung cư Sao Mai
",https://batdongsan.com.vn/can-ho-chung-cu-quan-5/chung-cu-sao-mai-pj1665,Công ty CP Đầu tư và Xây dựng Cholimex,"153 – 161 Lương Nhữ Học, Phường 11, Quận 5 , Tp.HCM , Việt Nam",10.151 m²,2012,"
Đang cập nhật
",,,"10.7527503967285,106.65975189209",p76
"
Samland Giai Việt
",https://batdongsan.com.vn/can-ho-chung-cu-quan-8/samland-giai-viet-pj1659,Công ty CP Địa ốc Sacom,"854-856 Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh",42.250 m²,,"
Đã hoàn thành
",20 triệu/m²,gồm 4 Block cao 29-30 tầng và 2 cao ốc thương mại 27 tầng,"10.7365550994873,106.66951751709",p76
"
Ngọc Khánh Tower
",https://batdongsan.com.vn/can-ho-chung-cu-quan-5/ngoc-khanh-tower-pj1657,Công ty TNHH Thương mại Dịch vụ Kim Kim Hoàn Mỹ,"21 - 23 Nguyễn Biểu, Đường Nguyễn Biểu, Phường 5, Quận 5, Hồ Chí Minh",,Tháng 12/2015,"
Đã hoàn thành
",29 triệu/m²,"18 tầng (2 tầng hầm, 3 tầng trung tâm thương mại); 132 căn hộ","10.7536306381226,106.684158325195",p76
"
Park View
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/park-view-pj1662,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Khu Cảnh Đồi – Phú Mỹ Hưng, Đường Nguyễn Đức Cảnh, Phường Tân Phú, Quận 7, Hồ Chí Minh",,,"
Đã hoàn thành
",,,"10.721869468689,106.717475891113",p76
"
TaniBuilding Sơn Kỳ 2
",https://batdongsan.com.vn/can-ho-chung-cu-tan-phu/tanibuilding-son-ky-2-pj1653,Công ty CP Sản xuất Kinh doanh Xuất nhập khẩu Dịch vụ và Đầu tư Tân Bình ,"Đường CC5, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",,,"
Đang cập nhật
",,,"10.8093032836914,106.608489990234",p76
"
C17 Bộ Công An
",https://batdongsan.com.vn/can-ho-chung-cu-long-bien/c17-bo-cong-an-pj1661,Công ty TNHH Thăng Long ,"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",,,"
Đã hoàn thành
",,Tòa nhà cao 16 tầng,"21.0499114990234,105.866333007813",p76
"
The Mansion
",https://batdongsan.com.vn/can-ho-chung-cu-binh-chanh/the-mansion-pj1658,Công ty TNHH Đầu tư Địa ốc Khang Việt,"Lô 13E, Đường Nguyễn Văn Linh, Xã Phong Phú, Bình Chánh, Hồ Chí Minh",4.597 m²,2010,"
Đã hoàn thành
",,"gồm 3 khu, 9 tòa nhà, cung cấp khoảng 1.100 căn hộ","10.7071599960327,106.643119812012",p76
"
Cảnh Viên 2
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/canh-vien-2-pj1648,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Lô đất S1-2, Khu Nam Viên, Phường Tân Phú, Quận 7, Hồ Chí Minh",,,"
Đang cập nhật
",,"13 tầng, 116 căn hộ, 13 penthouse","10.722710609436,106.728179931641",p76
"
Hưng Vượng 3
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/hung-vuong-3-pj1637,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Hồ Chí Minh",,Quý II/2002,"
Đã hoàn thành
",,"16 Block nhà: A, B, C, D, E, F, I, J, K, H, G, L, M, N, O và P","10.7292346954346,106.708457946777",p77
"
Nam Khang
",https://batdongsan.com.vn/can-ho-chung-cu-quan-7/nam-khang-pj1639,Công ty TNHH Liên doanh Phú Mỹ Hưng,"Lô đất S18 1-1, Khu Nam Viên, Đường 23, Phường Tân Phú, Quận 7, Hồ Chí Minh",,,"
Đã hoàn thành
",,,"10.7151613235474,106.729782104492",p77
